n format pre-sign sign pre-verify verify locate
100 CSV-b 0.42 0.98 0.06 0.12 0.69
100 CSV-c 0.64 0.34 0.05 0.05 0.62
100 JSON 0.65 0.37 0.05 0.06 0.66
100 PDF 9.69 0.51 0.06 0.09 7.71
100 PNG 1.72 1.04 0.63 0.66 1.35
100 TXT 0.34 0.31 0.05 0.05 0.64
100 XML 0.71 1.08 0.23 0.05 0.65
1000 CSV-b 8.27 3.68 0.06 0.08 14.1
1000 CSV-c 8.44 3.68 0.17 0.08 14.0
1000 JSON 8.97 4.95 0.18 0.1 14.43
1000 PDF 140.53 4.49 0.21 0.17 145.63
1000 PNG 17.65 10.51 4.83 5.94 21.35
1000 TXT 8.11 3.79 0.43 0.08 14.09
1000 XML 9.29 5.89 1.51 0.11 14.37
10000 CSV-b 155.87 71.97 0.3 0.19 376.1
10000 CSV-c 116.09 70.54 2.62 0.21 372.17
10000 JSON 115.73 87.77 2.62 0.34 415.97
10000 PDF 6942.73 84.8 3.07 1.07 6854.7
10000 PNG 179.45 156.78 56.42 58.1 447.24
10000 TXT 159.67 71.8 4.77 0.25 377.03
10000 XML 119.86 98.35 19.62 0.37 427.82
